video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term
/watch?v=Pn8QZmN-WHM&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@NCHPAD,"National Center on Health, Physical Activity and Disability (NCHPAD)",2024 Major Update to Disability Rights - New Legal Accessibility Standards,1K,1 year,"Discover the latest triumph in disability advocacy with our deep dive into the HHS's finalized rule, strengthening protections ...",2026-01-22 06:02:05.486765,disability rights
/watch?v=cUmFvnmM-tw&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@OSBFoundation,Ohio State Bar Foundation,Disability Rights Ohio,797,8 years,"The Ohio State Bar Foundation granted funds in 2016 to Disability Rights Ohio (DRO), a nonprofit with a mission to advocate for ...",2026-01-22 06:02:05.488589,disability rights
/watch?v=SxRavLsdxjs&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@forthepeople,Morgan & Morgan,Morgan & Morgan Deaf and Disability Rights Unit | ADA Attorneys,1.6K,9 years,Visit http://forthep.pl/qAu for more info. Morgan & Morgan's Deaf and Disability Rights Units is committed to fighting for improved ...,2026-01-22 06:02:05.494659,disability rights
/shorts/5JA7p1G2mmI,/@sightsavers,Sightsavers,Join us in the fight for disability rights!,227,6 years,Staff from Sightsavers country offices around the world express their calls on political leaders around the world. Sign our petition ...,2026-01-22 06:02:05.497071,disability rights
/watch?v=-L26ZU5p5qY&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@OsgoodeHallLawSchool,Osgoode Hall Law School,David Lepofsky Disability Rights Advocacy Lectures Introduction,1.3K,11 years,"2013-2014 McMurtry Fellow, David Lepofsky gives a brief introduction to this 11-part series of lectures on disability accessibility ...",2026-01-22 06:02:05.501518,disability rights
/watch?v=5wIcvSfsFcM&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@ktnnews_kenya,KTN News Kenya,Disability rights in Kenya,363,1 year,KTN NEWS LIVE Welcome to the 24/7 KTN Kenya News Channel on YouTube – your trusted source for the latest news and ...,2026-01-22 06:02:05.502812,disability rights
/watch?v=O3B9jkwhF4c&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@micivilrights,Michigan Department of Civil Rights,Accessibility from a Public Policy Perspective | Rebecca Cokley | 2025 Summit on Disability Rights,108,8 months,The opening keynote of the 2025 Civil Rights Summit on Disability Rights: Accessibility Beyond Compliance.,2026-01-22 06:02:05.506120,disability rights
/watch?v=oUHJo319c_4&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@disabilityrightslegalcente1601,Disability Rights Legal Center,Fighting for Inclusion | Disability Rights Legal Center,157,7 years,"This film was created in collaboration with Tina Carbone Films for DRLC's 43rd Annual FDR Dinner. __ On Saturday, September ...",2026-01-22 06:02:05.512403,disability rights
/watch?v=tKzFfqq95QE&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@RootedinRights,Rooted In Rights,Disability Rights Washington: Rethinking the Mental Health and Criminal Justice Systems,1.1K,6 years,"I'm the director of the Treatment Facilities Program at Disability Rights Washington. In Johnny's case, they tried a lot of different ...",2026-01-22 06:02:05.513591,disability rights
/watch?v=JhMFR2z0xjM&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@NDRNadvocates,National Disability Rights Network,Imani Barbarin: Disability Rights in Black 2020,770,5 years,It's day 9 of our #DisabilityRightsInBlack series and Imani Barbarin is center stage! Imani is a creative curator of critical ...,2026-01-22 06:02:05.516934,disability rights
/watch?v=lMf95XrXOtE&pp=ygURZGlzYWJpbGl0eSByaWdodHM%3D,/@barnwood_trust,Barnwood Trust,A film by Disability Rights UK,712,3 years,A film by Disability Rights UK.,2026-01-22 06:02:05.522286,disability rights
